"red","green","blue","ir","ndvi","Cmmn_Nm","red_blue","red_green","blue_green"
4174,3651,2644,6247,0.198925247097208,"Broadleaf",1.57866868381241,1.14324842508902,0.724185154752123
3995,3371,1888,6066,0.205844349468244,"Broadleaf",2.11599576271186,1.18510827647582,0.560071195490952
4295,3871,2734,7406,0.265874711563114,"Broadleaf",1.57095830285296,1.10953242056316,0.706277447687936
4739,4291,3297,8105,0.262067891622548,"Broadleaf",1.43736730360934,1.10440456769984,0.768352365415987
4172,3496,2494,5890,0.170741403299543,"Broadleaf",1.67281475541299,1.19336384439359,0.713386727688787
4319,3694,2567,6724,0.217785022186,"Broadleaf",1.68250876509544,1.1691932864104,0.694910665944775
5363,4940,3888,7995,0.197035484353945,"Broadleaf",1.37937242798354,1.08562753036437,0.787044534412956
4172,3684,2580,6619,0.226763043276805,"Broadleaf",1.61705426356589,1.13246471226927,0.700325732899023
4830,4355,3312,7576,0.221344510720619,"Broadleaf",1.45833333333333,1.10907003444317,0.760505166475316
3881,3411,2389,5688,0.188838959138886,"Broadleaf",1.62452909167015,1.13778950454412,0.700381119906186
4604,4341,3064,9602,0.351823173307053,"Broadleaf",1.50261096605744,1.06058511863626,0.705828150195807
4037,3323,2312,5004,0.106957195000553,"Broadleaf",1.74610726643599,1.21486608486308,0.695756846223292
4312,4018,2930,8969,0.350651306377532,"Broadleaf",1.47167235494881,1.07317073170732,0.729218516674963
4133,3553,2421,6954,0.25444213944259,"Broadleaf",1.70714580751755,1.16324233042499,0.681396003377428
4366,3864,2674,8189,0.304500199123855,"Broadleaf",1.63275991024682,1.12991718426501,0.692028985507246
4285,3656,2453,7949,0.299493215628576,"Broadleaf",1.74684060334285,1.17204595185996,0.670951859956236
4591,4080,3024,5475,0.0878203854559905,"Broadleaf",1.51818783068783,1.12524509803922,0.741176470588235
4314,3393,3003,4716,0.0445182724252492,"Broadleaf",1.43656343656344,1.27144120247569,0.885057471264368
3907,3388,2332,5496,0.168988620652983,"Broadleaf",1.6753859348199,1.15318772136954,0.688311688311688
4363,4059,2747,8552,0.324351529229578,"Broadleaf",1.58827812158719,1.07489529440749,0.676767676767677
